,Unnamed: 0,datetime,open,high,low,close,volume,hold,(t+1)-(t),label
2441,404.0,2021-07-26 10:50:00,5826.0,5826.0,5826.0,5826.0,1.0,18.0,19.0,0
2442,405.0,2021-07-26 10:51:00,5827.0,5829.0,5827.0,5829.0,2.0,20.0,16.0,0
2445,408.0,2021-07-26 10:54:00,5839.0,5839.0,5826.0,5826.0,1.0,23.0,22.0,0
2446,409.0,2021-07-26 10:55:00,5826.0,5834.0,5826.0,5834.0,1.0,24.0,7.0,0
2448,411.0,2021-07-26 10:57:00,5837.0,5837.0,5837.0,5837.0,1.0,25.0,3.0,0
2460,423.0,2021-07-27 09:06:00,5812.0,5812.0,5812.0,5812.0,3.0,13.0,8.0,0
2461,424.0,2021-07-27 09:08:00,5834.0,5834.0,5834.0,5834.0,3.0,13.0,-18.0,0
2462,425.0,2021-07-27 09:10:00,6088.0,6088.0,6088.0,6088.0,5.0,18.0,-188.0,0
2488,451.0,2021-08-03 09:40:00,5860.0,5860.0,5860.0,5860.0,1.0,13.0,19.0,0
2521,484.0,2021-08-05 09:44:00,6134.0,6134.0,6100.0,6100.0,1.0,20.0,69.0,0
2522,485.0,2021-08-05 09:46:00,6135.0,6135.0,6135.0,6135.0,1.0,20.0,62.0,0
2523,486.0,2021-08-05 09:54:00,6169.0,6169.0,6169.0,6169.0,1.0,21.0,280.0,0
2524,487.0,2021-08-05 09:55:00,6169.0,6181.0,6169.0,6181.0,1.0,21.0,192.0,0
2525,488.0,2021-08-05 09:56:00,6181.0,6197.0,6110.0,6197.0,3.0,20.0,179.0,0
2526,489.0,2021-08-05 09:59:00,6197.0,6210.0,6197.0,6210.0,1.0,21.0,192.0,0
2527,490.0,2021-08-05 10:00:00,6210.0,6250.0,6210.0,6250.0,6.0,27.0,150.0,0
2528,491.0,2021-08-05 10:01:00,6250.0,6279.0,6250.0,6279.0,2.0,29.0,121.0,0
2529,492.0,2021-08-05 10:02:00,6279.0,6290.0,6279.0,6290.0,6.0,34.0,110.0,0
2530,493.0,2021-08-05 10:03:00,6300.0,6540.0,6300.0,6480.0,24.0,55.0,-80.0,0
2531,494.0,2021-08-05 10:04:00,6533.0,6533.0,6449.0,6449.0,9.0,60.0,-64.0,0
